q,q_sd,c,c_sd,symptomatic_fraction,symptomatic_fraction_sd,socialDistancing_other,socialDistancing_other_sd,p_reduced,p_reduced_sd,Initial_Condition_Scale,Initial_Condition_Scale_sd,R0,R0_sd,chain,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,
0.022197359,6.94948664e-05,0.168405808,0.0974514829,0.508386556,0.0053741991,0.182961502,0.073696433,0.745560657,0.145783969,1.00653204,0.00657686368,1.30496898,5.24025268e-14,1,973642.685,809639.76,1607702.24,144719.321,526577.425,482.128845,129.842633,275.789778,39.2547494,33.2155572,111.725056,30.1959611,64.4180503,9.05878833,8.05225629,687.461381,185.201895,393.554026,56.365794,47.3070057
0.0221960936,9.95430338e-05,0.144594308,0.0984976662,0.508064996,0.00520460451,0.171373339,0.0664209834,0.766909381,0.13095573,1.00780844,0.00911943134,1.31199101,3.73034936e-14,2,973641.06,809639.322,1607701.31,144719.188,526577.313,482.740244,130.007289,276.139513,39.3045292,33.2576786,111.866737,30.2342533,64.4997403,9.07027598,8.06246754,688.333166,185.436753,394.053101,56.4372728,47.3669968
0.0222131607,7.78390098e-05,0.685491903,0.0470902872,0.504363872,0.00443939343,0.298681652,0.0195605615,0.562688566,0.0348777305,1.00773674,0.00754747347,1.30948004,4.50750548e-14,3,973641.151,809639.346,1607701.36,144719.195,526577.319,482.705898,129.998039,276.119866,39.3017328,33.2553124,111.858778,30.2321022,64.4951513,9.06963065,8.06189391,688.284192,185.42356,394.025065,56.4332574,47.3636267
0.0208750736,2.53118165e-05,0.114502061,0.0837505771,0.51992985,0.00329067593,0.392400141,0.0162358159,0.477449627,0.0289027495,1.19670029,0.0045710051,1.22714038,9.54791801e-14,4,973400.601,809574.532,1607563.61,144699.543,526560.69,573.219437,154.374337,327.895879,46.6713112,39.4911095,132.833732,35.9010086,76.5888184,10.7703026,9.57360229,817.346296,220.192853,467.909812,67.0152161,56.2449135
0.0221816794,9.42357828e-05,0.00449309988,0.00317689786,0.509673672,0.00472887412,0.161468432,0.0653744415,0.772208184,0.129484528,1.00837341,0.00850171066,1.30528334,1.58983937e-13,5,973640.341,809639.128,1607700.9,144719.129,526577.263,483.010862,130.08017,276.294314,39.3265629,33.2763225,111.929448,30.2512022,64.5358981,9.07536067,8.06698726,688.719037,185.540707,394.274002,56.4689108,47.3935502
0.0221280329,0.000131373817,0.134505149,0.0838806449,0.510023458,0.0042416294,0.174291355,0.0733435446,0.761018778,0.143367249,1.01393694,0.0155367002,1.28762993,1.57651669e-14,6,973633.258,809637.22,1607696.84,144718.551,526576.774,485.675793,130.797865,277.818721,39.5435405,33.4599189,112.547,30.4181081,64.8919639,9.12543243,8.11149549,692.518928,186.564396,396.449342,56.7804684,47.655036
0.0221667553,8.07888296e-05,0.0264037734,0.0194763781,0.510994845,0.0030549518,0.187630773,0.00925631478,0.719055879,0.0102325794,1.00825655,0.00905926053,1.3017903,5.55111512e-14,7,973640.489,809639.168,1607700.98,144719.141,526577.273,482.954886,130.065095,276.262294,39.3220053,33.2724661,111.916477,30.2476964,64.528419,9.07430893,8.06605238,688.639222,185.519205,394.22831,56.4623667,47.3880577
0.0170484241,0.000155700889,0.317455761,0.250584774,0.631561655,0.039358547,0.211612813,0.165376488,0.997894313,0.00207477438,1.95033025,0.124954908,1.0102328,6.15063556e-14,8,972441.23,809316.037,1607014.21,144621.166,526494.371,934.208192,251.592603,534.39049,76.0628799,64.3608984,216.486658,58.5099076,124.821136,17.5529723,15.602642,1332.07556,358.860767,762.57913,109.218494,91.665522
0.0221293032,0.000254249462,0.664588756,0.132289788,0.501227942,0.00384342232,0.235039338,0.0762717938,0.714892434,0.173571309,1.02458676,0.034600818,1.26802213,9.90318938e-14,9,973619.701,809633.567,1607689.08,144717.443,526575.836,490.777056,132.171691,280.736771,39.9588835,33.8113629,113.72913,30.7376027,65.5735523,9.2212808,8.19669404,699.792754,188.523963,400.613421,57.3768583,48.1555775
0.0221824633,9.80089315e-05,0.169251115,0.106713141,0.508351949,0.0051846337,0.181680755,0.0656936352,0.74937758,0.129681069,1.00868304,0.0102006358,1.30385524,1.03472786e-13,10,973639.946,809639.022,1607700.67,144719.097,526577.236,483.159177,130.120112,276.379153,39.3386386,33.2865404,111.963818,30.2604913,64.5557147,9.07814738,8.06946433,688.930518,185.59768,394.395069,56.4862503,47.408103
0.0221897601,8.71504737e-05,0.159796955,0.104842988,0.508397493,0.00519630964,0.176149562,0.0675707449,0.757474643,0.130199446,1.00796662,0.00876138134,1.30332322,1.07247544e-13,11,973640.858,809639.267,1607701.19,144719.171,526577.299,482.81601,130.027694,276.182853,39.3106981,33.2628984,111.884295,30.2389985,64.5098635,9.07169956,8.06373294,688.4412,185.465858,394.114947,56.4461306,47.374431
