q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.020021,0.986675,0.419343,0.039263,0.363793,0.026751,0.744513,2.977036,6.166690,12.855966,-4.281614,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
0.019995,0.902842,0.417553,0.065202,0.348826,0.023802,0.693188,2.645680,6.486921,12.903193,-4.283462,1.185911,2.000000,
