q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,LogLikelihood,R0,i_chain,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031869,0.681719,0.398822,0.006631,0.127700,0.039685,0.635948,6.893061,-1.788876,1.880173,8.000000,
0.031450,0.648437,0.398598,0.007463,0.144811,0.042909,0.640929,6.809706,-3.523950,1.880173,8.000000,
0.031450,0.648437,0.398598,0.007463,0.144811,0.042909,0.640929,6.809706,-3.523950,1.880173,8.000000,
0.031079,0.651310,0.402304,0.017920,0.114201,0.030901,0.653243,6.754028,-3.406457,1.880173,8.000000,
0.031079,0.651310,0.402304,0.017920,0.114201,0.030901,0.653243,6.754028,-3.406457,1.880173,8.000000,
0.031079,0.651310,0.402304,0.017920,0.114201,0.030901,0.653243,6.754028,-3.406457,1.880173,8.000000,
0.030692,0.635824,0.400079,0.019029,0.138327,0.032344,0.667075,6.679842,-2.695208,1.880173,8.000000,
0.030692,0.635824,0.400079,0.019029,0.138327,0.032344,0.667075,6.679842,-2.695208,1.880173,8.000000,
0.030692,0.635824,0.400079,0.019029,0.138327,0.032344,0.667075,6.679842,-2.695208,1.880173,8.000000,
0.030692,0.635824,0.400079,0.019029,0.138327,0.032344,0.667075,6.679842,-2.695208,1.880173,8.000000,
0.030692,0.635824,0.400079,0.019029,0.138327,0.032344,0.667075,6.679842,-2.695208,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
0.030698,0.641148,0.399268,0.016398,0.153451,0.060967,0.664354,6.742071,-3.435196,1.880173,8.000000,
