q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.025382,0.670821,0.382022,0.177600,0.851278,0.105520,-11.484125,1.510883,1.000000,
0.025435,0.679493,0.381145,0.191550,0.827598,0.096259,-11.722607,1.510883,1.000000,
0.025384,0.669568,0.385247,0.173304,0.852371,0.096648,-11.219616,1.510883,1.000000,
0.025384,0.669568,0.385247,0.173304,0.852371,0.096648,-11.219616,1.510883,1.000000,
0.025384,0.669568,0.385247,0.173304,0.852371,0.096648,-11.219616,1.510883,1.000000,
0.025384,0.669568,0.385247,0.173304,0.852371,0.096648,-11.219616,1.510883,1.000000,
0.025367,0.624121,0.385492,0.138171,0.915432,0.098782,-11.374647,1.510883,1.000000,
0.025367,0.624121,0.385492,0.138171,0.915432,0.098782,-11.374647,1.510883,1.000000,
0.025367,0.624121,0.385492,0.138171,0.915432,0.098782,-11.374647,1.510883,1.000000,
0.025456,0.631830,0.382907,0.146396,0.898391,0.090211,-11.463054,1.510883,1.000000,
0.025518,0.577899,0.369291,0.251144,0.763936,0.091251,-12.066961,1.510883,1.000000,
0.025429,0.606788,0.369732,0.246159,0.787628,0.105022,-12.781423,1.510883,1.000000,
0.025429,0.606788,0.369732,0.246159,0.787628,0.105022,-12.781423,1.510883,1.000000,
0.025354,0.568080,0.369549,0.286878,0.705009,0.114617,-11.604738,1.510883,1.000000,
0.025354,0.568080,0.369549,0.286878,0.705009,0.114617,-11.604738,1.510883,1.000000,
0.026147,0.721820,0.357551,0.338897,0.571188,0.018597,-10.728983,1.510883,1.000000,
0.026147,0.721820,0.357551,0.338897,0.571188,0.018597,-10.728983,1.510883,1.000000,
0.026226,0.742597,0.357340,0.302237,0.637694,0.008408,-9.605520,1.510883,1.000000,
0.026289,0.755889,0.356077,0.268500,0.702789,0.002022,-9.865516,1.510883,1.000000,
0.026222,0.760113,0.357535,0.299135,0.643480,0.007472,-9.340238,1.510883,1.000000,
0.026222,0.760113,0.357535,0.299135,0.643480,0.007472,-9.340238,1.510883,1.000000,
0.026139,0.803491,0.361310,0.321814,0.597889,0.011178,-10.172113,1.510883,1.000000,
0.026179,0.756070,0.362155,0.342187,0.541993,0.001276,-9.716386,1.510883,1.000000,
0.026179,0.756070,0.362155,0.342187,0.541993,0.001276,-9.716386,1.510883,1.000000,
0.026179,0.756070,0.362155,0.342187,0.541993,0.001276,-9.716386,1.510883,1.000000,
0.026278,0.561883,0.357430,0.203888,0.817461,0.006869,-11.257440,1.510883,1.000000,
0.026278,0.561883,0.357430,0.203888,0.817461,0.006869,-11.257440,1.510883,1.000000,
0.026278,0.561883,0.357430,0.203888,0.817461,0.006869,-11.257440,1.510883,1.000000,
0.026245,0.540631,0.359065,0.216395,0.787526,0.010118,-11.168208,1.510883,1.000000,
0.026245,0.540631,0.359065,0.216395,0.787526,0.010118,-11.168208,1.510883,1.000000,
0.026183,0.521438,0.357357,0.135918,0.928382,0.029676,-11.586765,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026248,0.572176,0.357967,0.104400,0.983129,0.018199,-10.528681,1.510883,1.000000,
0.026242,0.618553,0.357644,0.115539,0.962493,0.016778,-9.929805,1.510883,1.000000,
0.026262,0.608406,0.358640,0.112677,0.948927,0.013889,-10.092748,1.510883,1.000000,
0.026262,0.608406,0.358640,0.112677,0.948927,0.013889,-10.092748,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026305,0.600028,0.357629,0.108092,0.960388,0.006020,-9.607793,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026342,0.623773,0.356060,0.113134,0.961742,0.002639,-9.809324,1.510883,1.000000,
0.026365,0.600612,0.353482,0.099408,0.995644,0.004556,-10.936318,1.510883,1.000000,
0.026365,0.600612,0.353482,0.099408,0.995644,0.004556,-10.936318,1.510883,1.000000,
0.026365,0.600612,0.353482,0.099408,0.995644,0.004556,-10.936318,1.510883,1.000000,
0.026286,0.585237,0.353509,0.107554,0.988472,0.015727,-10.382216,1.510883,1.000000,
0.026286,0.585237,0.353509,0.107554,0.988472,0.015727,-10.382216,1.510883,1.000000,
0.026286,0.585237,0.353509,0.107554,0.988472,0.015727,-10.382216,1.510883,1.000000,
0.026286,0.585237,0.353509,0.107554,0.988472,0.015727,-10.382216,1.510883,1.000000,
0.026286,0.585237,0.353509,0.107554,0.988472,0.015727,-10.382216,1.510883,1.000000,
0.026282,0.575431,0.355389,0.101396,0.992048,0.014775,-10.389529,1.510883,1.000000,
0.026355,0.575475,0.355396,0.141307,0.910586,0.003092,-11.448400,1.510883,1.000000,
0.026325,0.596430,0.355430,0.137535,0.913488,0.003772,-9.650531,1.510883,1.000000,
0.026325,0.596430,0.355430,0.137535,0.913488,0.003772,-9.650531,1.510883,1.000000,
0.026325,0.596430,0.355430,0.137535,0.913488,0.003772,-9.650531,1.510883,1.000000,
0.026325,0.596430,0.355430,0.137535,0.913488,0.003772,-9.650531,1.510883,1.000000,
0.026325,0.596430,0.355430,0.137535,0.913488,0.003772,-9.650531,1.510883,1.000000,
