region (NEED TO MANUAL APPEND),S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,
2191194,1873653,3719933,334381,1282046,2598,719,1527,218,192,605,167,356,51,45,3719,1028,2184,312,274,42,23,48,7,12,0,12,26,4,9,0,7,16,2,5,10750,2985,6347,913,786
1395214,1161741,2306809,207598,1090369,490,132,280,40,48,113,31,65,9,11,697,188,399,57,69,8,4,9,1,3,0,2,5,1,2,0,1,3,0,1,2050,569,1211,176,207
971454,808923,1606163,144484,526382,451,122,258,37,31,105,28,60,9,7,644,173,369,53,44,7,4,8,1,2,0,2,4,1,1,0,2,5,1,2,2262,731,1569,239,195
