,rdate,wkdeaths
1,2/19/2020,0
2,2/26/2020,0
3,3/4/2020,10
4,3/11/2020,28
5,3/18/2020,62
6,3/25/2020,117
7,4/1/2020,212
8,4/8/2020,320
9,4/15/2020,422
10,4/22/2020,518
11,4/29/2020,597
12,5/6/2020,640
13,5/13/2020,701
14,5/20/2020,737
15,5/27/2020,781
16,6/3/2020,807
17,6/10/2020,827
18,6/17/2020,841
19,6/24/2020,867
20,7/1/2020,889
