,rdate,wkdeaths
1,3/4/2020,0
2,3/11/2020,0
3,3/18/2020,2
4,3/25/2020,216
5,4/1/2020,1135
6,4/8/2020,3658
7,4/15/2020,8039
8,4/22/2020,11230
9,4/29/2020,13514
10,5/6/2020,15036
11,5/13/2020,16115
12,5/20/2020,16804
13,5/27/2020,17226
14,6/3/2020,17555
15,6/10/2020,17825
16,6/17/2020,18038
17,6/24/2020,18225
18,7/1/2020,18923
