q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,i_chain,
0.025509,0.787397,0.373791,0.126617,0.992178,0.089227,-10.767753,1.529702,7.000000,
0.025566,0.767648,0.374913,0.118532,0.989496,0.081796,-10.459057,1.529702,7.000000,
0.025431,0.743734,0.381092,0.144288,0.924372,0.089819,-10.018792,1.529702,7.000000,
0.025431,0.743734,0.381092,0.144288,0.924372,0.089819,-10.018792,1.529702,7.000000,
0.025431,0.743734,0.381092,0.144288,0.924372,0.089819,-10.018792,1.529702,7.000000,
0.025431,0.743734,0.381092,0.144288,0.924372,0.089819,-10.018792,1.529702,7.000000,
0.025431,0.743734,0.381092,0.144288,0.924372,0.089819,-10.018792,1.529702,7.000000,
0.025618,0.682264,0.379804,0.120848,0.941133,0.064593,-9.857114,1.529702,7.000000,
0.025588,0.727070,0.379854,0.132498,0.924098,0.067727,-10.579693,1.529702,7.000000,
0.025639,0.715425,0.384617,0.132948,0.887182,0.052410,-10.045244,1.529702,7.000000,
0.025639,0.715425,0.384617,0.132948,0.887182,0.052410,-10.045244,1.529702,7.000000,
0.025711,0.742900,0.382695,0.119108,0.928854,0.047320,-9.851727,1.529702,7.000000,
0.025929,0.710465,0.380464,0.098510,0.951044,0.022761,-9.376612,1.529702,7.000000,
0.025929,0.710465,0.380464,0.098510,0.951044,0.022761,-9.376612,1.529702,7.000000,
0.025929,0.710465,0.380464,0.098510,0.951044,0.022761,-9.376612,1.529702,7.000000,
0.025790,0.682772,0.384562,0.082529,0.977562,0.039055,-10.446261,1.529702,7.000000,
0.025790,0.682772,0.384562,0.082529,0.977562,0.039055,-10.446261,1.529702,7.000000,
0.025762,0.657390,0.387797,0.099759,0.925558,0.037307,-10.874576,1.529702,7.000000,
0.025762,0.657390,0.387797,0.099759,0.925558,0.037307,-10.874576,1.529702,7.000000,
0.025762,0.657390,0.387797,0.099759,0.925558,0.037307,-10.874576,1.529702,7.000000,
0.026165,0.788090,0.367730,0.220617,0.736769,0.007406,-9.637645,1.529702,7.000000,
0.026165,0.788090,0.367730,0.220617,0.736769,0.007406,-9.637645,1.529702,7.000000,
0.026160,0.765959,0.366040,0.217182,0.741319,0.012503,-10.458374,1.529702,7.000000,
0.026160,0.765959,0.366040,0.217182,0.741319,0.012503,-10.458374,1.529702,7.000000,
0.026160,0.765959,0.366040,0.217182,0.741319,0.012503,-10.458374,1.529702,7.000000,
0.026160,0.765959,0.366040,0.217182,0.741319,0.012503,-10.458374,1.529702,7.000000,
0.026219,0.784700,0.367601,0.217151,0.730758,0.001939,-9.210735,1.529702,7.000000,
0.026219,0.784700,0.367601,0.217151,0.730758,0.001939,-9.210735,1.529702,7.000000,
0.026220,0.775070,0.368553,0.210090,0.744508,0.001042,-9.053251,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026210,0.753479,0.366859,0.195783,0.783253,0.007285,-9.239129,1.529702,7.000000,
0.026218,0.787938,0.366798,0.192178,0.799198,0.006048,-9.064784,1.529702,7.000000,
0.026218,0.787938,0.366798,0.192178,0.799198,0.006048,-9.064784,1.529702,7.000000,
0.026218,0.787938,0.366798,0.192178,0.799198,0.006048,-9.064784,1.529702,7.000000,
0.026218,0.787938,0.366798,0.192178,0.799198,0.006048,-9.064784,1.529702,7.000000,
0.026218,0.787938,0.366798,0.192178,0.799198,0.006048,-9.064784,1.529702,7.000000,
0.026260,0.726226,0.367743,0.174149,0.821738,0.001774,-10.093490,1.529702,7.000000,
0.026260,0.726226,0.367743,0.174149,0.821738,0.001774,-10.093490,1.529702,7.000000,
0.026260,0.726226,0.367743,0.174149,0.821738,0.001774,-10.093490,1.529702,7.000000,
0.026260,0.726226,0.367743,0.174149,0.821738,0.001774,-10.093490,1.529702,7.000000,
0.026260,0.741334,0.366712,0.190758,0.794456,0.003174,-10.172902,1.529702,7.000000,
0.026260,0.741334,0.366712,0.190758,0.794456,0.003174,-10.172902,1.529702,7.000000,
0.026131,0.700695,0.370011,0.199086,0.781537,0.015817,-9.908061,1.529702,7.000000,
0.026131,0.700695,0.370011,0.199086,0.781537,0.015817,-9.908061,1.529702,7.000000,
0.026130,0.779721,0.373208,0.213059,0.755141,0.010883,-9.510583,1.529702,7.000000,
0.026130,0.779721,0.373208,0.213059,0.755141,0.010883,-9.510583,1.529702,7.000000,
0.026123,0.750020,0.373508,0.207870,0.768761,0.011067,-9.624967,1.529702,7.000000,
0.026158,0.746681,0.371754,0.192209,0.804378,0.011012,-9.898764,1.529702,7.000000,
0.026158,0.746681,0.371754,0.192209,0.804378,0.011012,-9.898764,1.529702,7.000000,
0.026155,0.751158,0.376032,0.198740,0.775291,0.000964,-9.478114,1.529702,7.000000,
0.026141,0.740635,0.377721,0.194743,0.773261,0.002529,-9.716187,1.529702,7.000000,
0.026141,0.740635,0.377721,0.194743,0.773261,0.002529,-9.716187,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026105,0.717622,0.379680,0.232611,0.686175,0.002001,-9.867762,1.529702,7.000000,
0.026065,0.743756,0.378207,0.247623,0.670415,0.005969,-10.624668,1.529702,7.000000,
0.026065,0.743756,0.378207,0.247623,0.670415,0.005969,-10.624668,1.529702,7.000000,
0.026065,0.743756,0.378207,0.247623,0.670415,0.005969,-10.624668,1.529702,7.000000,
0.026103,0.672901,0.379689,0.175393,0.795087,0.003008,-10.445426,1.529702,7.000000,
0.026103,0.672901,0.379689,0.175393,0.795087,0.003008,-10.445426,1.529702,7.000000,
0.026095,0.666646,0.378484,0.203052,0.751100,0.009042,-10.366507,1.529702,7.000000,
0.026095,0.666646,0.378484,0.203052,0.751100,0.009042,-10.366507,1.529702,7.000000,
0.026095,0.666646,0.378484,0.203052,0.751100,0.009042,-10.366507,1.529702,7.000000,
0.026146,0.630865,0.377385,0.201071,0.754589,0.002770,-10.216504,1.529702,7.000000,
0.026085,0.715482,0.376883,0.208082,0.755357,0.012644,-10.195671,1.529702,7.000000,
0.026068,0.695786,0.378257,0.225785,0.715234,0.013019,-10.432527,1.529702,7.000000,
0.026068,0.695786,0.378257,0.225785,0.715234,0.013019,-10.432527,1.529702,7.000000,
0.026032,0.770843,0.384720,0.203084,0.764621,0.011371,-11.327009,1.529702,7.000000,
0.026032,0.770843,0.384720,0.203084,0.764621,0.011371,-11.327009,1.529702,7.000000,
0.026032,0.770843,0.384720,0.203084,0.764621,0.011371,-11.327009,1.529702,7.000000,
0.026032,0.770843,0.384720,0.203084,0.764621,0.011371,-11.327009,1.529702,7.000000,
0.026032,0.770843,0.384720,0.203084,0.764621,0.011371,-11.327009,1.529702,7.000000,
0.026055,0.766084,0.382860,0.187688,0.805982,0.007876,-11.359102,1.529702,7.000000,
0.026003,0.741391,0.383703,0.152705,0.884584,0.012296,-12.953691,1.529702,7.000000,
0.026047,0.727037,0.382950,0.156253,0.875429,0.008341,-12.414528,1.529702,7.000000,
0.026046,0.757722,0.379640,0.181366,0.838283,0.013691,-11.724040,1.529702,7.000000,
0.026183,0.707200,0.376826,0.176334,0.836858,0.001778,-13.859157,1.529702,7.000000,
0.026129,0.700292,0.375964,0.190982,0.815767,0.011005,-12.194421,1.529702,7.000000,
0.026135,0.747386,0.373727,0.205896,0.797245,0.014052,-12.081739,1.529702,7.000000,
0.026135,0.747386,0.373727,0.205896,0.797245,0.014052,-12.081739,1.529702,7.000000,
0.026048,0.720868,0.380650,0.180723,0.824273,0.017030,-11.654797,1.529702,7.000000,
0.026048,0.720868,0.380650,0.180723,0.824273,0.017030,-11.654797,1.529702,7.000000,
0.026151,0.753231,0.377461,0.172321,0.835949,0.008365,-12.199832,1.529702,7.000000,
0.026059,0.747717,0.374716,0.159206,0.888306,0.026397,-11.450348,1.529702,7.000000,
0.026023,0.760851,0.377450,0.191325,0.809700,0.028917,-11.118468,1.529702,7.000000,
0.026014,0.786355,0.375583,0.207618,0.787827,0.033364,-11.028848,1.529702,7.000000,
0.026014,0.786355,0.375583,0.207618,0.787827,0.033364,-11.028848,1.529702,7.000000,
0.026014,0.786355,0.375583,0.207618,0.787827,0.033364,-11.028848,1.529702,7.000000,
0.026074,0.803513,0.375203,0.260644,0.678005,0.025743,-11.946137,1.529702,7.000000,
0.026074,0.803513,0.375203,0.260644,0.678005,0.025743,-11.946137,1.529702,7.000000,
0.026074,0.803513,0.375203,0.260644,0.678005,0.025743,-11.946137,1.529702,7.000000,
0.026057,0.779334,0.373107,0.218451,0.772123,0.032550,-11.237083,1.529702,7.000000,
0.026057,0.779334,0.373107,0.218451,0.772123,0.032550,-11.237083,1.529702,7.000000,
0.026045,0.777405,0.371258,0.203236,0.803965,0.039337,-11.174306,1.529702,7.000000,
0.026044,0.696824,0.371051,0.195410,0.814771,0.037716,-11.230771,1.529702,7.000000,
0.026044,0.696824,0.371051,0.195410,0.814771,0.037716,-11.230771,1.529702,7.000000,
0.026044,0.696824,0.371051,0.195410,0.814771,0.037716,-11.230771,1.529702,7.000000,
0.026071,0.696958,0.369833,0.185034,0.846567,0.035264,-11.599958,1.529702,7.000000,
0.026071,0.696958,0.369833,0.185034,0.846567,0.035264,-11.599958,1.529702,7.000000,
0.026109,0.749092,0.373428,0.239822,0.728385,0.019904,-11.826831,1.529702,7.000000,
0.026109,0.749092,0.373428,0.239822,0.728385,0.019904,-11.826831,1.529702,7.000000,
0.026128,0.761263,0.371085,0.260848,0.695144,0.018732,-11.857221,1.529702,7.000000,
0.026159,0.774351,0.372473,0.254378,0.698557,0.011983,-12.861710,1.529702,7.000000,
0.026003,0.801919,0.377142,0.291773,0.638241,0.027409,-11.882749,1.529702,7.000000,
0.025895,0.542890,0.381995,0.125951,0.903108,0.030854,-11.159521,1.529702,7.000000,
0.025863,0.564864,0.380174,0.111815,0.947252,0.040524,-11.348453,1.529702,7.000000,
0.025848,0.590573,0.377092,0.096487,0.996464,0.043959,-11.355938,1.529702,7.000000,
0.025870,0.653819,0.373609,0.130057,0.950407,0.046847,-10.602134,1.529702,7.000000,
0.025870,0.653819,0.373609,0.130057,0.950407,0.046847,-10.602134,1.529702,7.000000,
0.025892,0.833406,0.368232,0.281274,0.624930,0.052709,-12.089918,1.529702,7.000000,
0.025393,0.660258,0.365816,0.311137,0.637981,0.130442,-13.527497,1.529702,7.000000,
0.025821,0.752424,0.375317,0.257217,0.652805,0.048742,-12.100345,1.529702,7.000000,
0.025797,0.893205,0.385227,0.406220,0.326276,0.021134,-13.361941,1.529702,7.000000,
0.025797,0.893205,0.385227,0.406220,0.326276,0.021134,-13.361941,1.529702,7.000000,
0.025615,0.726541,0.393561,0.487936,0.142305,0.021983,-13.501812,1.529702,7.000000,
0.025615,0.726541,0.393561,0.487936,0.142305,0.021983,-13.501812,1.529702,7.000000,
0.025615,0.726541,0.393561,0.487936,0.142305,0.021983,-13.501812,1.529702,7.000000,
0.025615,0.726541,0.393561,0.487936,0.142305,0.021983,-13.501812,1.529702,7.000000,
0.025530,0.713486,0.391958,0.476502,0.187596,0.038553,-11.534721,1.529702,7.000000,
0.025530,0.713486,0.391958,0.476502,0.187596,0.038553,-11.534721,1.529702,7.000000,
0.025530,0.713486,0.391958,0.476502,0.187596,0.038553,-11.534721,1.529702,7.000000,
0.025530,0.713486,0.391958,0.476502,0.187596,0.038553,-11.534721,1.529702,7.000000,
0.025530,0.713486,0.391958,0.476502,0.187596,0.038553,-11.534721,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025536,0.735900,0.389908,0.488967,0.165341,0.043052,-11.343741,1.529702,7.000000,
0.025534,0.734106,0.386632,0.497023,0.169531,0.048185,-11.164848,1.529702,7.000000,
0.025534,0.734106,0.386632,0.497023,0.169531,0.048185,-11.164848,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025530,0.760228,0.386307,0.502043,0.155239,0.047207,-11.421995,1.529702,7.000000,
0.025594,0.681696,0.380679,0.445644,0.303578,0.059710,-11.633509,1.529702,7.000000,
0.025527,0.657620,0.383295,0.446150,0.306743,0.063811,-11.204793,1.529702,7.000000,
0.025618,0.713726,0.379227,0.398301,0.407875,0.058315,-10.877169,1.529702,7.000000,
0.025618,0.713726,0.379227,0.398301,0.407875,0.058315,-10.877169,1.529702,7.000000,
0.025618,0.713726,0.379227,0.398301,0.407875,0.058315,-10.877169,1.529702,7.000000,
0.025654,0.755168,0.377275,0.401367,0.402415,0.056111,-10.330385,1.529702,7.000000,
0.025654,0.755168,0.377275,0.401367,0.402415,0.056111,-10.330385,1.529702,7.000000,
0.025639,0.777646,0.380166,0.432849,0.330637,0.050297,-10.728230,1.529702,7.000000,
0.025540,0.788100,0.383770,0.436740,0.321514,0.054672,-10.305168,1.529702,7.000000,
0.025540,0.788100,0.383770,0.436740,0.321514,0.054672,-10.305168,1.529702,7.000000,
0.025540,0.788100,0.383770,0.436740,0.321514,0.054672,-10.305168,1.529702,7.000000,
0.025540,0.788100,0.383770,0.436740,0.321514,0.054672,-10.305168,1.529702,7.000000,
0.025540,0.788100,0.383770,0.436740,0.321514,0.054672,-10.305168,1.529702,7.000000,
0.025189,0.844417,0.388893,0.402723,0.437966,0.101553,-11.748468,1.529702,7.000000,
0.024996,0.797518,0.395165,0.384773,0.462341,0.119516,-12.144808,1.529702,7.000000,
0.024996,0.797518,0.395165,0.384773,0.462341,0.119516,-12.144808,1.529702,7.000000,
0.024996,0.797518,0.395165,0.384773,0.462341,0.119516,-12.144808,1.529702,7.000000,
0.024996,0.797518,0.395165,0.384773,0.462341,0.119516,-12.144808,1.529702,7.000000,
0.024966,0.819830,0.394183,0.410470,0.424251,0.127781,-12.551610,1.529702,7.000000,
0.024966,0.819830,0.394183,0.410470,0.424251,0.127781,-12.551610,1.529702,7.000000,
0.024966,0.819830,0.394183,0.410470,0.424251,0.127781,-12.551610,1.529702,7.000000,
0.024978,0.813416,0.395273,0.417565,0.406019,0.124747,-13.109380,1.529702,7.000000,
0.024893,0.763771,0.391547,0.418015,0.428630,0.142486,-12.568289,1.529702,7.000000,
0.024884,0.745469,0.393213,0.407187,0.444222,0.140259,-12.797468,1.529702,7.000000,
0.024847,0.794444,0.392989,0.413601,0.448209,0.144114,-13.543189,1.529702,7.000000,
0.024875,0.796813,0.394369,0.369541,0.523218,0.136375,-13.169490,1.529702,7.000000,
0.024982,0.793875,0.393761,0.316432,0.618013,0.125012,-11.982474,1.529702,7.000000,
0.024982,0.793875,0.393761,0.316432,0.618013,0.125012,-11.982474,1.529702,7.000000,
0.024931,0.585772,0.379784,0.259108,0.797399,0.161226,-12.349674,1.529702,7.000000,
0.024768,0.636797,0.380096,0.272122,0.789254,0.186341,-12.593998,1.529702,7.000000,
0.024668,0.424554,0.384943,0.251503,0.776551,0.194863,-13.649525,1.529702,7.000000,
0.024716,0.440408,0.384086,0.274856,0.731062,0.191035,-12.842895,1.529702,7.000000,
0.024716,0.440408,0.384086,0.274856,0.731062,0.191035,-12.842895,1.529702,7.000000,
0.024716,0.440408,0.384086,0.274856,0.731062,0.191035,-12.842895,1.529702,7.000000,
0.024716,0.440408,0.384086,0.274856,0.731062,0.191035,-12.842895,1.529702,7.000000,
0.024689,0.448642,0.383992,0.274787,0.736241,0.195933,-13.013511,1.529702,7.000000,
0.024689,0.448642,0.383992,0.274787,0.736241,0.195933,-13.013511,1.529702,7.000000,
0.024739,0.412151,0.386763,0.270010,0.726082,0.185415,-13.390924,1.529702,7.000000,
0.024702,0.652728,0.384545,0.246144,0.816819,0.190946,-11.934045,1.529702,7.000000,
0.024795,0.667852,0.379662,0.262439,0.795854,0.182915,-11.847507,1.529702,7.000000,
0.025099,0.760105,0.383196,0.317053,0.624284,0.125376,-11.761534,1.529702,7.000000,
0.025113,0.728161,0.384113,0.305480,0.635854,0.119937,-11.911592,1.529702,7.000000,
0.025113,0.728161,0.384113,0.305480,0.635854,0.119937,-11.911592,1.529702,7.000000,
0.025113,0.728161,0.384113,0.305480,0.635854,0.119937,-11.911592,1.529702,7.000000,
0.025113,0.728161,0.384113,0.305480,0.635854,0.119937,-11.911592,1.529702,7.000000,
0.025291,0.804354,0.385847,0.217193,0.812154,0.097146,-11.716852,1.529702,7.000000,
0.025291,0.804354,0.385847,0.217193,0.812154,0.097146,-11.716852,1.529702,7.000000,
0.025145,0.864753,0.386532,0.215549,0.842555,0.115620,-11.648136,1.529702,7.000000,
0.025123,0.814087,0.389114,0.187920,0.888996,0.116356,-12.346051,1.529702,7.000000,
0.025123,0.814087,0.389114,0.187920,0.888996,0.116356,-12.346051,1.529702,7.000000,
0.025043,0.846306,0.389108,0.212052,0.856680,0.128077,-13.379551,1.529702,7.000000,
0.025280,0.979652,0.384361,0.247582,0.766976,0.094978,-12.185734,1.529702,7.000000,
0.025176,0.970462,0.383808,0.261274,0.760942,0.110446,-10.927561,1.529702,7.000000,
0.025176,0.970462,0.383808,0.261274,0.760942,0.110446,-10.927561,1.529702,7.000000,
0.025104,0.924955,0.384167,0.274133,0.743678,0.121347,-11.556168,1.529702,7.000000,
0.025104,0.924955,0.384167,0.274133,0.743678,0.121347,-11.556168,1.529702,7.000000,
0.025104,0.924955,0.384167,0.274133,0.743678,0.121347,-11.556168,1.529702,7.000000,
