q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,asymp_red,latent_period,symptomat recovery_rate,asymptomatic_recovery_rate,LogLikelihood,R0,i_chain,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031423,0.556718,0.383733,0.102469,0.025982,0.042706,0.555838,5.646396,5.569698,9.380562,-1.582480,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
0.031675,0.584873,0.381726,0.107938,0.026641,0.043316,0.565474,5.786101,5.481353,9.230928,-1.021047,1.928000,1.000000,
