"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","LogLikelihood","R0","i_chain","loc","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"255","2",0.050596,0.895114,0.137144,0.228162,0.0032,-336745.155026,3.240338,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"256","2",0.050599,0.873923,0.1045,0.001562,0.605642,-335181.052022,3.165903,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"257","2",0.050122,0.864664,0.112275,0.00349,0.737299,-335548.97073,3.153688,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"258","2",0.050883,0.954927,0.11144,0.001868,0.680885,-335508.053896,3.199611,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"259","2",0.052123,0.552576,0.121164,0.167523,0.008235,-335969.232354,3.300485,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"260","2",0.05079,0.864651,0.159173,0.147988,0.002244,-337834.834975,3.30331,3,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"261","2",0.050931,0.568888,0.10899,0.213467,0.001192,-335392.041697,3.197026,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"262","2",0.051776,0.753367,0.153076,0.001283,0.207396,-337528.443163,3.353157,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"263","2",0.049635,0.950488,0.163016,0.00219,0.545031,-338030.109032,3.236765,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
"264","2",0.051826,0.591253,0.091582,0.242648,0.060111,-334576.547964,3.212406,4,"sfl",1396045,366,85,521,3,0,0,1553,0,0,0,0,0,1161965,98,23,140,2,1,1,438,0,0,0,0,0,2307284,209,49,298,3,2,3,932,0,0,0,0,0,207666,30,7,43,0,0,0,0,0,0,0,0,0,1090451,36,8,51,1,1,1,161,0,0,0,0,0,0
