"","id","q","c","symptomatic_fraction","socialDistancing_other","p_reduced","Initial_Condition_Scale","R0","chain","loc","id_sample","S.c","E.c","Is.c","Ia.c","Hs.c","Hc.c","D.c","R.c","S.c.pos","E.c.pos","Is.c.pos","Ia.c.pos","R.c.pos","S.a","E.a","Is.a","Ia.a","Hs.a","Hc.a","D.a","R.a","S.a.pos","E.a.pos","Is.a.pos","Ia.a.pos","R.a.pos","S.rc","E.rc","Is.rc","Ia.rc","Hs.rc","Hc.rc","D.rc","R.rc","S.rc.pos","E.rc.pos","Is.rc.pos","Ia.rc.pos","R.rc.pos","S.fc","E.fc","Is.fc","Ia.fc","Hs.fc","Hc.fc","D.fc","R.fc","S.fc.pos","E.fc.pos","Is.fc.pos","Ia.fc.pos","R.fc.pos","S.e","E.e","Is.e","Ia.e","Hs.e","Hc.e","D.e","R.e","S.e.pos","E.e.pos","Is.e.pos","Ia.e.pos","R.e.pos","H.pos"
"11","1",0.034891356,0.40647998,0.527252567,0.078130126,0.18790146,0.011768368,2.10157589,"10\","nyc",11,2190061.70255746,2785.398317104,648.543523888,3985.355601552,43,1,0,11383,0,0,0,0,0,1873339.1337497,770.967496416,179.083001136,1101.815752752,26,11,7,3159,0,0,0,0,0,3719266.29010229,1638.052987792,381.436674736,2340.220235184,54,24,15,6717,0,0,0,0,0,334285.750685312,233.718493008,54.635491872,334.895329808,8,3,2,966,0,0,0,0,0,1281962.63331291,205.388978704,47.553113296,294.424595088,11,12,7,829,0,0,0,0,0,0
"12","1",0.034005125,0.497030488,0.496952752,0.095667707,0.281583608,0.140314314,2.10157589,"10\","nyc",12,2189119.07513544,3139.285306442,730.941475274,4491.698082846,43,1,0,11383,0,0,0,0,0,1873078.44257121,868.919507268,201.835633578,1241.802287946,26,11,7,3159,0,0,0,0,0,3718712.38562097,1846.168874366,429.898496378,2637.547008282,54,24,15,6717,0,0,0,0,0,334206.566382576,263.412606534,61.576972956,377.444037934,8,3,2,966,0,0,0,0,0,1281893.08995613,231.483805742,53.594772758,331.831465374,11,12,7,829,0,0,0,0,0,0
"13","1",0.033256309,0.565793523,0.532460638,0.031482443,0.324039769,0.16851518,2.10157589,"10\","nyc",13,2188912.27818506,3216.92229054,749.01823038,4602.78129402,43,1,0,11383,0,0,0,0,0,1873021.25121496,890.40856716,206.82718686,1272.51303102,26,11,7,3159,0,0,0,0,0,3718590.86808938,1891.82607642,440.53022286,2702.77561134,54,24,15,6717,0,0,0,0,0,334189.19464912,269.92700658,63.09981972,386.77852458,8,3,2,966,0,0,0,0,0,1281877.83328762,237.20858154,54.92021346,340.03791738,11,12,7,829,0,0,0,0,0,0
"14","1",0.035042944,0.50657912,0.473501463,0.15515528,0.032987212,0.03906848,2.10157589,"10\","nyc",14,2189861.51083616,2860.55552544,666.04289568,4092.89074272,43,1,0,11383,0,0,0,0,0,1873283.76912256,791.77018176,183.91512096,1131.54557472,26,11,7,3159,0,0,0,0,0,3719148.65391968,1682.25186912,391.72881696,2403.36539424,54,24,15,6717,0,0,0,0,0,334268.93381632,240.02481888,56.10969792,343.93166688,8,3,2,966,0,0,0,0,0,1281947.86395232,210.93090144,48.83621856,302.36892768,11,12,7,829,0,0,0,0,0,0
"15","1",0.034388569,0.343488699,0.501130117,0.088590928,0.327795717,0.097347528,2.10157589,"10\","nyc",15,2189434.15057718,3020.997744584,703.399765448,4322.451912792,43,1,0,11383,0,0,0,0,0,1873165.57921322,836.178816336,194.230512456,1195.011457992,26,11,7,3159,0,0,0,0,0,3718897.52950185,1776.605647832,413.700018056,2538.164832264,54,24,15,6717,0,0,0,0,0,334233.033922752,253.487278968,59.256766512,363.222031768,8,3,2,966,0,0,0,0,0,1281916.33498735,222.761548184,51.575333816,319.328130648,11,12,7,829,0,0,0,0,0,0
"16","1",0.033730854,0.038300854,0.566980865,0.020743397,0.306225841,0.074558955,2.10157589,"10\","nyc",16,2189601.25918298,2958.260803115,688.792290155,4232.687723745,43,1,0,11383,0,0,0,0,0,1873211.79443926,818.81392371,190.196935035,1170.194701995,26,11,7,3159,0,0,0,0,0,3718995.72546291,1739.710948145,405.108726035,2485.454862915,54,24,15,6717,0,0,0,0,0,334247.07168372,248.223118605,58.02618357,355.679014105,8,3,2,966,0,0,0,0,0,1281928.66360534,218.135467865,50.504270885,312.696655905,11,12,7,829,0,0,0,0,0,0
"17","1",0.033863457,0.406165361,0.527854597,0.04923905,0.276785617,0.119197129,2.10157589,"10\","nyc",17,2189273.92745304,3081.149696137,717.405359689,4408.517491131,43,1,0,11383,0,0,0,0,0,1873121.26822239,852.828212298,198.097891833,1218.805673481,26,11,7,3159,0,0,0,0,0,3718803.37957114,1811.980151851,421.937317633,2588.702959377,54,24,15,6717,0,0,0,0,0,334219.574568536,258.534536799,60.436644966,370.454249699,8,3,2,966,0,0,0,0,0,1281904.51435321,227.197017187,52.602265063,325.686364539,11,12,7,829,0,0,0,0,0,0
"18","1",0.032872381,0.411124655,0.42045289,0.037500785,0.77293738,0.445322831,2.10157589,"10\","nyc",18,2186882.44768028,3978.973753743,926.451934671,5693.126631309,43,1,0,11383,0,0,0,0,0,1872459.88529873,1101.335997222,255.822141087,1573.956562959,26,11,7,3159,0,0,0,0,0,3717398.10392122,2339.977663389,544.886707287,3343.031708103,54,24,15,6717,0,0,0,0,0,334018.681136104,333.869573961,78.047432874,478.401857061,8,3,2,966,0,0,0,0,0,1281728.08034843,293.400534693,67.930173057,420.588943821,11,12,7,829,0,0,0,0,0,0
"19","1",0.034373687,0.266148041,0.449196556,0.189942031,0.11006631,0.173509223,2.10157589,"10\","nyc",19,2188875.65686774,3230.670890919,752.219411943,4622.452829397,43,1,0,11383,0,0,0,0,0,1873011.12329576,894.214027926,207.711132471,1277.951543847,26,11,7,3159,0,0,0,0,0,3718569.34875809,1899.911432037,442.412977071,2714.326832799,54,24,15,6717,0,0,0,0,0,334186.118318632,271.080630513,63.369498042,388.431552813,8,3,2,966,0,0,0,0,0,1281875.13151036,238.222372269,55.154933481,341.491183893,11,12,7,829,0,0,0,0,0,0
"20","1",0.034699596,0.964869569,0.466300786,0.114440362,0.320111106,0.121408082,2.10157589,"10\","nyc",20,2189257.71453469,3087.236449746,718.822580562,4417.226434998,43,1,0,11383,0,0,0,0,0,1873116.7844097,854.512958484,198.489230514,1221.213401298,26,11,7,3159,0,0,0,0,0,3718793.85257466,1815.559684758,422.770846914,2593.816893666,54,24,15,6717,0,0,0,0,0,334218.212621488,259.045266942,60.556036428,371.186075142,8,3,2,966,0,0,0,0,0,1281903.31822764,227.645840646,52.706179854,326.329751862,11,12,7,829,0,0,0,0,0,0
"21","1",0.034505001,0.571607029,0.492951115,0.211113476,0.059792439,0.047497207,1.90964233,"11\","nyc",21,2189799.70298107,2883.759810871,671.445709687,4126.091498373,43,1,0,11383,0,0,0,0,0,1873266.6756642,798.192871734,185.407005639,1140.724458423,26,11,7,3159,0,0,0,0,0,3719112.33453504,1695.897978133,394.906447039,2422.861039791,54,24,15,6717,0,0,0,0,0,334263.741720488,241.971854817,56.564849178,346.721575517,8,3,2,966,0,0,0,0,0,1281943.30401101,212.641933021,49.232368729,304.821687237,11,12,7,829,0,0,0,0,0,0
"22","1",0.034536772,0.902977794,0.554863817,0.09771848,0.095658443,0.009186942,1.90964233,"11\","nyc",22,2190080.63215431,2778.291651326,646.888829822,3975.187364538,43,1,0,11383,0,0,0,0,0,1873344.36888162,769.000449804,178.626088734,1099.004579838,26,11,7,3159,0,0,0,0,0,3719277.41346692,1633.873659098,380.463477134,2334.249396846,54,24,15,6717,0,0,0,0,0,334287.340843728,233.122183602,54.496094868,334.040877802,8,3,2,966,0,0,0,0,0,1281964.02986438,204.864949226,47.431786274,293.673400122,11,12,7,829,0,0,0,0,0,0
"23","1",0.034824451,0.761617433,0.505772345,0.174385468,0.14449429,0.008376757,1.90964233,"11\","nyc",23,2190086.57324092,2776.061212021,646.369501237,3971.996045823,43,1,0,11383,0,0,0,0,0,1873346.0119368,768.383088834,178.482685989,1098.122288373,26,11,7,3159,0,0,0,0,0,3719280.90455409,1632.561969583,380.158037389,2332.375438941,54,24,15,6717,0,0,0,0,0,334287.839917688,232.935030867,54.452344878,333.772706567,8,3,2,966,0,0,0,0,0,1281964.46817446,204.700481671,47.393707579,293.437636287,11,12,7,829,0,0,0,0,0,0
"24","1",0.033856012,0.809097384,0.519854068,0.075727895,0.364925989,0.120657882,1.90964233,"11\","nyc",24,2189263.21575129,3085.171149146,718.341702362,4414.271397198,43,1,0,11383,0,0,0,0,0,1873118.3058153,853.941306084,198.356445114,1220.396433498,26,11,7,3159,0,0,0,0,0,3718797.08518646,1814.345110958,422.488021514,2592.081681066,54,24,15,6717,0,0,0,0,0,334218.674744688,258.871970742,60.515525628,370.937758942,8,3,2,966,0,0,0,0,0,1281903.72408584,227.493550046,52.670920454,326.111443662,11,12,7,829,0,0,0,0,0,0
"25","1",0.035771918,0.794228766,0.402076416,0.145070054,0.393025537,0.120052836,1.90964233,"11\","nyc",25,2189267.65255361,3083.505457508,717.953867876,4411.888121004,43,1,0,11383,0,0,0,0,0,1873119.53284859,853.480261032,198.249351972,1219.737538404,26,11,7,3159,0,0,0,0,0,3718799.69232968,1813.365541484,422.259919172,2590.682209668,54,24,15,6717,0,0,0,0,0,334219.047453024,258.732205116,60.482853144,370.737488716,8,3,2,966,0,0,0,0,0,1281904.05141572,227.370725708,52.642483292,325.935375276,11,12,7,829,0,0,0,0,0,0
