q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.025475,0.289040,0.393425,0.136057,0.845923,0.061874,-13.438280,1.926231,972165.498846,809115.026445,1606569.258538,144542.483184,526431.225674,358.913478,96.630552,204.941720,29.732477,24.423107,82.826187,22.299358,47.784339,6.371245,5.309371,510.761488,138.043645,292.015404,41.413094,35.041848,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025475,0.289040,0.393425,0.136057,0.845923,0.061874,-13.438280,1.926231,972165.498846,809115.026445,1606569.258538,144542.483184,526431.225674,358.913478,96.630552,204.941720,29.732477,24.423107,82.826187,22.299358,47.784339,6.371245,5.309371,510.761488,138.043645,292.015404,41.413094,35.041848,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025475,0.289040,0.393425,0.136057,0.845923,0.061874,-13.438280,1.926231,972165.498846,809115.026445,1606569.258538,144542.483184,526431.225674,358.913478,96.630552,204.941720,29.732477,24.423107,82.826187,22.299358,47.784339,6.371245,5.309371,510.761488,138.043645,292.015404,41.413094,35.041848,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025406,0.341294,0.392715,0.170683,0.791086,0.072367,-13.432497,1.920216,972156.086502,809112.487105,1606563.875558,144541.717185,526430.585593,362.460159,97.585427,206.966895,30.026285,24.664449,83.644652,22.519714,48.256530,6.434204,5.361837,515.808687,139.407753,294.901017,41.822326,35.388122,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025391,0.385704,0.393239,0.180639,0.774479,0.073278,-12.967942,1.919664,972155.269949,809112.266809,1606563.408566,144541.650732,526430.530063,362.767845,97.668266,207.142586,30.051774,24.685386,83.715657,22.538831,48.297494,6.439666,5.366388,516.246549,139.526094,295.151353,41.857828,35.418162,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025739,0.521768,0.386303,0.068331,0.983419,0.030943,-12.881723,1.937948,972193.244414,809122.511871,1606585.126404,144544.741184,526433.112496,348.458627,93.815784,198.971938,28.866395,23.711682,80.413529,21.649796,46.392421,6.185656,5.154713,495.883430,134.022549,283.509238,40.206765,34.021109,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025739,0.521768,0.386303,0.068331,0.983419,0.030943,-12.881723,1.937948,972193.244414,809122.511871,1606585.126404,144544.741184,526433.112496,348.458627,93.815784,198.971938,28.866395,23.711682,80.413529,21.649796,46.392421,6.185656,5.154713,495.883430,134.022549,283.509238,40.206765,34.021109,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.025739,0.521768,0.386303,0.068331,0.983419,0.030943,-12.881723,1.937948,972193.244414,809122.511871,1606585.126404,144544.741184,526433.112496,348.458627,93.815784,198.971938,28.866395,23.711682,80.413529,21.649796,46.392421,6.185656,5.154713,495.883430,134.022549,283.509238,40.206765,34.021109,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.024948,0.499055,0.381027,0.120503,0.998928,0.167826,-12.659284,1.872478,972070.460197,809089.386140,1606514.905330,144534.748712,526424.762622,394.725143,106.272154,225.390392,32.699124,26.859995,91.090418,24.524343,52.552164,7.006955,5.839129,561.724242,151.817363,321.152114,45.545209,38.538254,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
0.024948,0.499055,0.381027,0.120503,0.998928,0.167826,-12.659284,1.872478,972070.460197,809089.386140,1606514.905330,144534.748712,526424.762622,394.725143,106.272154,225.390392,32.699124,26.859995,91.090418,24.524343,52.552164,7.006955,5.839129,561.724242,151.817363,321.152114,45.545209,38.538254,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,10.000000,
