q,c,symptomatic_fraction,socialDistancing_other,p_reduced,Initial_Condition_Scale,LogLikelihood,R0,S_c,S_a,S_rc,S_fc,S_e,E_c,E_a,E_rc,E_fc,E_e,Isym_c,Isym_a,Isym_rc,Isym_fc,Isym_e,Iasym_c,Iasym_a,Iasym_rc,Iasym_fc,Iasym_e,Hsub_c,Hsub_a,Hsub_rc,Hsub_fc,Hsub_e,Hcri_c,Hcri_a,Hcri_rc,Hcri_fc,Hcri_e,D_c,D_a,D_rc,D_fc,D_e,R_c,R_a,R_rc,R_fc,R_e,i_chain,
0.025683,0.603366,0.385611,0.385610,0.408765,0.047615,-13.214434,1.932955,972178.289082,809118.477099,1606576.573355,144543.524084,526432.095467,354.093969,95.332992,202.189752,29.333228,24.095152,81.713993,21.999921,47.142688,6.285692,5.238076,503.902956,136.189988,288.094206,40.856996,34.571305,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025692,0.655312,0.387429,0.388317,0.397525,0.041915,-13.008292,1.935724,972183.402106,809119.856532,1606579.497525,144543.940194,526432.443176,352.167322,94.814279,201.089625,29.173624,23.964049,81.269382,21.880218,46.886182,6.251491,5.209576,501.161190,135.448970,286.526668,40.634691,34.383200,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025825,0.674013,0.387928,0.397866,0.357090,0.020633,-11.504670,1.946313,972202.492345,809125.006853,1606590.415355,144545.493803,526433.741397,344.973899,92.877588,196.982138,28.577719,23.474555,79.609361,21.433290,45.928478,6.123797,5.103164,490.924395,132.682269,280.674030,39.804681,33.680884,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025732,0.722539,0.384761,0.395347,0.386998,0.042451,-12.608524,1.935634,972182.921708,809119.726927,1606579.222783,144543.901098,526432.410506,352.348342,94.863015,201.192988,29.188620,23.976366,81.311156,21.891465,46.910282,6.254704,5.212254,501.418794,135.518593,286.673947,40.655578,34.400874,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025265,0.636192,0.394760,0.250824,0.660277,0.085057,-11.486599,1.911909,972144.703923,809109.416220,1606557.365788,144540.790843,526429.811527,366.749247,98.740182,209.415990,30.381594,24.956310,84.634442,22.786196,48.827562,6.510342,5.425285,521.912389,141.057403,298.390659,42.317221,35.806879,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025265,0.636192,0.394760,0.250824,0.660277,0.085057,-11.486599,1.911909,972144.703923,809109.416220,1606557.365788,144540.790843,526429.811527,366.749247,98.740182,209.415990,30.381594,24.956310,84.634442,22.786196,48.827562,6.510342,5.425285,521.912389,141.057403,298.390659,42.317221,35.806879,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025753,0.568300,0.389819,0.149740,0.821352,0.018781,-11.395088,1.943110,972204.153835,809125.455104,1606591.365571,144545.629019,526433.854386,344.347830,92.709031,196.624649,28.525856,23.431953,79.464884,21.394392,45.845125,6.112683,5.093903,490.033451,132.441473,280.164655,39.732442,33.619759,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025753,0.519678,0.393873,0.152867,0.802657,0.014140,-11.682118,1.947785,972208.316686,809126.578192,1606593.746332,144545.967802,526434.137478,342.779220,92.286713,195.728963,28.395912,23.325213,79.102897,21.296934,45.636287,6.084838,5.070699,487.801197,131.838161,278.888418,39.551448,33.466610,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025630,0.537812,0.396281,0.190372,0.737680,0.028556,-11.119891,1.941290,972195.385096,809123.089402,1606586.350674,144544.915398,526433.258072,347.651993,93.598613,198.511345,28.799573,23.656792,80.227383,21.599680,46.285029,6.171337,5.142781,494.735528,133.712305,282.852953,40.113691,33.942354,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
0.025621,0.544423,0.395875,0.209348,0.691575,0.032006,-11.193493,1.940118,972192.290658,809122.254559,1606584.580945,144544.663565,526433.047637,348.818013,93.912542,199.177149,28.896167,23.736137,80.496465,21.672125,46.440268,6.192036,5.160030,496.394864,134.160774,283.801638,40.248232,34.056197,3.000000,1.000000,3.000000,0.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000,0.000000,2.000000,5.000000,1.000000,2.000000,1803.000000,609.000000,1311.000000,202.000000,166.000000,4.000000,
